Player_Name,Date,Team,Home/Away,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PLUS_MINUS,Player_Code
Giannis Antetokounmpo,2026-01-23,MIL,H,DEN,"L, 100-102",True,32,4,8,0.5,0,0,0.0,14,16,0.875,1,12,13,7,0,0,4,1,22,22.0,6,antetgi01
Giannis Antetokounmpo,2026-01-21,MIL,H,OKC,"L, 102-122",True,31,8,11,0.727,0,0,0.0,3,6,0.5,2,12,14,7,1,0,3,2,19,20.4,-11,antetgi01
Giannis Antetokounmpo,2026-01-19,MIL,A,ATL,"W, 112-110",True,30,7,12,0.583,0,1,0.0,7,12,0.583,3,14,17,6,1,1,3,3,21,21.4,-8,antetgi01
Giannis Antetokounmpo,2026-01-15,MIL,A,SAS,"L, 101-119",True,22,7,12,0.583,1,1,1.0,6,9,0.667,2,3,5,1,2,0,3,1,21,15.8,-31,antetgi01
Giannis Antetokounmpo,2026-01-13,MIL,H,MIN,"L, 106-139",True,31,9,13,0.692,0,1,0.0,7,14,0.5,0,8,8,5,1,0,7,4,25,15.0,-11,antetgi01
Jimmy Butler,2026-01-19,GSW,H,MIA,"W, 135-112",True,21,6,11,0.545,0,1,0.0,5,5,1.0,2,1,3,4,2,0,2,0,17,16.2,9,butleji01
Jimmy Butler,2026-01-15,GSW,H,NYK,"W, 126-113",True,32,14,22,0.636,1,3,0.333,3,5,0.6,7,1,8,4,2,0,0,1,32,31.0,15,butleji01
Jimmy Butler,2026-01-13,GSW,H,POR,"W, 119-97",True,26,5,7,0.714,1,2,0.5,5,5,1.0,0,6,6,5,0,0,0,3,16,17.2,17,butleji01
Jimmy Butler,2026-01-11,GSW,H,ATL,"L, 111-124",True,34,10,19,0.526,2,6,0.333,8,8,1.0,2,5,7,6,2,0,2,0,30,27.8,-5,butleji01
Jimmy Butler,2026-01-09,GSW,H,SAC,"W, 137-103",True,23,6,10,0.6,0,1,0.0,3,3,1.0,4,2,6,6,0,0,2,0,15,16.0,20,butleji01
Stephen Curry,2026-01-25,GSW,A,MIN,"W, 111-85",True,28,7,18,0.389,3,10,0.3,9,9,1.0,1,1,2,7,4,0,2,1,26,23.7,16,curryst01
Stephen Curry,2026-01-22,GSW,A,DAL,"L, 115-123",True,34,14,27,0.519,8,15,0.533,2,2,1.0,0,4,4,1,0,0,2,2,38,23.8,-24,curryst01
Stephen Curry,2026-01-20,GSW,H,TOR,"L, 127-145",True,25,6,16,0.375,2,7,0.286,2,3,0.667,0,3,3,3,1,0,1,1,16,9.4,-25,curryst01
Stephen Curry,2026-01-19,GSW,H,MIA,"W, 135-112",True,28,6,13,0.462,5,10,0.5,2,2,1.0,0,3,3,11,0,0,3,5,19,15.9,3,curryst01
Stephen Curry,2026-01-17,GSW,H,CHO,"W, 136-116",True,30,6,12,0.5,2,8,0.25,0,0,0.0,1,2,3,5,0,0,3,0,14,9.8,2,curryst01
Mike Conley,2026-01-25,MIN,H,GSW,"L, 85-111",False,16,0,0,0.0,0,0,0.0,2,2,1.0,1,2,3,1,1,0,1,1,2,3.6,-14,conlemi01
Mike Conley,2026-01-22,MIN,H,CHI,"L, 115-120",False,14,1,5,0.2,1,4,0.25,0,0,0.0,0,3,3,2,0,0,1,0,3,1.2,-8,conlemi01
Mike Conley,2026-01-20,MIN,A,UTA,"L, 122-127",False,16,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,2,1,0,0,2,0,-0.2,-5,conlemi01
Mike Conley,2026-01-17,MIN,A,SAS,"L, 123-126",False,21,0,4,0.0,0,2,0.0,0,0,0.0,0,2,2,3,0,0,1,3,0,-2.3,-1,conlemi01
Mike Conley,2026-01-16,MIN,A,HOU,"L, 105-110",True,26,2,8,0.25,1,5,0.2,1,2,0.5,1,0,1,1,1,0,1,0,6,2.2,8,conlemi01
Kevin Durant,2026-01-23,HOU,A,DET,"W, 111-104",True,41,11,19,0.579,5,11,0.455,5,6,0.833,0,7,7,3,1,1,0,4,32,27.0,18,duranke01
Kevin Durant,2026-01-22,HOU,A,PHI,"L, 122-128 (OT)",True,44,13,21,0.619,5,8,0.625,5,6,0.833,0,7,7,3,0,1,8,2,36,22.2,-15,duranke01
Kevin Durant,2026-01-20,HOU,H,SAS,"W, 111-106",True,39,7,12,0.583,2,4,0.5,2,2,1.0,0,4,4,7,1,1,4,2,18,15.4,1,duranke01
Kevin Durant,2026-01-18,HOU,H,NOP,"W, 119-110",True,36,5,18,0.278,1,8,0.125,7,8,0.875,3,3,6,8,1,0,3,1,18,13.2,3,duranke01
Kevin Durant,2026-01-16,HOU,H,MIN,"W, 110-105",True,40,11,18,0.611,6,8,0.75,11,14,0.786,1,3,4,7,2,1,5,3,39,32.6,15,duranke01
Anthony Davis,2026-01-08,DAL,A,UTA,"L, 114-116",True,35,10,20,0.5,0,2,0.0,1,1,1.0,2,9,11,4,1,1,2,0,21,17.6,-6,davisan02
Anthony Davis,2026-01-06,DAL,A,SAC,"W, 100-98",True,36,7,23,0.304,0,1,0.0,5,7,0.714,3,13,16,2,0,2,3,1,19,10.3,-6,davisan02
Anthony Davis,2026-01-03,DAL,H,HOU,"W, 110-104",True,39,9,15,0.6,0,2,0.0,8,9,0.889,1,11,12,3,0,5,5,2,26,22.5,-4,davisan02
Anthony Davis,2026-01-01,DAL,H,PHI,"L, 108-123",True,37,6,13,0.462,0,1,0.0,1,2,0.5,3,5,8,2,1,0,3,3,13,7.7,-14,davisan02
Anthony Davis,2025-12-25,DAL,A,GSW,"L, 116-126",True,11,1,4,0.25,0,0,0.0,1,4,0.25,0,3,3,0,1,2,0,0,3,2.7,6,davisan02
DeMar DeRozan,2026-01-25,SAC,A,DET,"L, 116-139",True,19,6,12,0.5,0,1,0.0,4,6,0.667,0,0,0,4,0,0,2,3,16,8.8,-9,derozde01
DeMar DeRozan,2026-01-23,SAC,A,CLE,"L, 118-123",True,30,6,12,0.5,0,1,0.0,8,9,0.889,0,4,4,3,0,0,2,3,20,13.7,-24,derozde01
DeMar DeRozan,2026-01-21,SAC,H,TOR,"L, 109-122",True,33,3,8,0.375,0,1,0.0,3,5,0.6,1,0,1,2,1,0,0,0,9,6.9,-23,derozde01
DeMar DeRozan,2026-01-20,SAC,H,MIA,"L, 117-130",True,35,6,12,0.5,1,2,0.5,10,10,1.0,0,4,4,5,0,0,2,3,23,18.5,-19,derozde01
DeMar DeRozan,2026-01-18,SAC,H,POR,"L, 110-117",True,35,6,11,0.545,0,1,0.0,2,3,0.667,1,1,2,7,2,1,3,4,14,12.3,-14,derozde01
Joel Embiid,2026-01-24,PHI,H,NYK,"L, 109-112",True,36,13,21,0.619,3,5,0.6,9,12,0.75,3,8,11,5,0,1,4,2,38,31.2,-3,embiijo01
Joel Embiid,2026-01-22,PHI,H,HOU,"W, 128-122 (OT)",True,46,10,19,0.526,1,3,0.333,11,12,0.917,3,12,15,10,1,1,5,1,32,31.3,21,embiijo01
Joel Embiid,2026-01-19,PHI,H,IND,"W, 113-104",True,33,10,17,0.588,1,1,1.0,9,10,0.9,2,7,9,4,0,0,1,1,30,26.6,3,embiijo01
Joel Embiid,2026-01-16,PHI,H,CLE,"L, 115-117",True,33,10,22,0.455,2,3,0.667,11,12,0.917,3,2,5,3,0,1,1,0,33,25.7,9,embiijo01
Joel Embiid,2026-01-14,PHI,H,CLE,"L, 107-133",True,25,7,14,0.5,2,5,0.4,4,4,1.0,2,2,4,3,1,1,6,0,20,12.8,-18,embiijo01
Rudy Gobert,2026-01-25,MIN,H,GSW,"L, 85-111",True,24,2,3,0.667,0,0,0.0,0,0,0.0,1,4,5,0,0,0,0,3,4,3.4,-21,goberru01
Rudy Gobert,2026-01-22,MIN,H,CHI,"L, 115-120",True,34,3,5,0.6,0,0,0.0,4,5,0.8,3,8,11,2,1,2,1,3,10,13.4,-1,goberru01
Rudy Gobert,2026-01-20,MIN,A,UTA,"L, 122-127",True,29,5,5,1.0,0,0,0.0,1,5,0.2,3,7,10,0,2,4,0,1,11,16.5,-6,goberru01
Rudy Gobert,2026-01-16,MIN,A,HOU,"L, 105-110",True,32,4,7,0.571,0,0,0.0,2,10,0.2,5,8,13,1,2,2,2,5,10,9.5,-3,goberru01
Rudy Gobert,2026-01-11,MIN,H,SAS,"W, 104-103",True,29,1,4,0.25,0,0,0.0,0,2,0.0,4,10,14,3,1,1,0,3,2,7.2,-14,goberru01
James Harden,2026-01-25,LAC,H,BRK,"W, 126-89",True,31,3,8,0.375,3,5,0.6,10,10,1.0,0,6,6,8,1,1,5,1,19,18.3,22,hardeja01
James Harden,2026-01-22,LAC,H,LAL,"W, 112-104",True,38,6,21,0.286,2,6,0.333,4,4,1.0,1,6,7,10,2,0,7,0,18,10.2,13,hardeja01
James Harden,2026-01-20,LAC,A,CHI,"L, 110-138",True,31,9,25,0.36,3,9,0.333,3,3,1.0,0,5,5,6,0,0,6,2,24,9.0,-6,hardeja01
James Harden,2026-01-19,LAC,A,WAS,"W, 110-106",True,37,9,17,0.529,0,5,0.0,18,20,0.9,1,6,7,9,1,1,3,2,36,33.6,-3,hardeja01
James Harden,2026-01-16,LAC,A,TOR,"W, 121-117 (OT)",True,42,10,27,0.37,2,15,0.133,9,10,0.9,0,2,2,10,1,1,4,4,31,19.4,-3,hardeja01
LeBron James,2026-01-24,LAL,A,DAL,"W, 116-110",True,37,8,16,0.5,1,3,0.333,0,0,0.0,2,6,8,5,1,1,1,2,17,15.6,-8,jamesle01
LeBron James,2026-01-22,LAL,A,LAC,"L, 104-112",True,36,9,19,0.474,1,4,0.25,4,5,0.8,0,5,5,6,2,0,4,1,23,16.2,-7,jamesle01
LeBron James,2026-01-20,LAL,A,DEN,"W, 115-107",True,34,8,15,0.533,1,1,1.0,2,6,0.333,1,8,9,8,0,0,6,2,19,12.0,13,jamesle01
LeBron James,2026-01-18,LAL,H,TOR,"W, 110-93",True,32,9,17,0.529,2,4,0.5,4,4,1.0,2,2,4,7,0,2,3,0,24,21.0,18,jamesle01
LeBron James,2026-01-17,LAL,A,POR,"L, 116-132",True,32,6,16,0.375,1,3,0.333,7,7,1.0,1,8,9,8,1,2,4,2,20,17.5,-16,jamesle01
Nikola Jokic,2025-12-29,DEN,A,MIA,"L, 123-147",True,19,9,14,0.643,1,4,0.25,2,3,0.667,2,3,5,8,0,0,2,1,21,19.9,-1,jokicni01
Nikola Jokic,2025-12-27,DEN,A,ORL,"L, 126-127",True,38,11,22,0.5,0,0,0.0,12,13,0.923,7,14,21,12,1,0,4,1,34,36.7,16,jokicni01
Nikola Jokic,2025-12-25,DEN,H,MIN,"W, 142-138 (OT)",True,43,15,21,0.714,4,6,0.667,22,23,0.957,5,11,16,15,0,2,5,2,56,59.8,15,jokicni01
Nikola Jokic,2025-12-23,DEN,A,DAL,"L, 130-131",True,36,12,22,0.545,5,10,0.5,0,0,0.0,3,4,7,14,4,0,4,4,29,29.9,2,jokicni01
Nikola Jokic,2025-12-22,DEN,H,UTA,"W, 135-112",True,29,5,7,0.714,1,1,1.0,3,4,0.75,2,11,13,13,2,3,2,2,14,25.8,22,jokicni01
Kawhi Leonard,2026-01-25,LAC,H,BRK,"W, 126-89",True,25,9,17,0.529,2,7,0.286,8,9,0.889,1,4,5,2,1,1,1,0,28,23.3,14,leonaka01
Kawhi Leonard,2026-01-22,LAC,H,LAL,"W, 112-104",True,26,9,19,0.474,3,7,0.429,3,3,1.0,1,4,5,4,1,0,2,2,24,17.2,1,leonaka01
Kawhi Leonard,2026-01-14,LAC,H,WAS,"W, 119-105",True,30,9,22,0.409,7,11,0.636,8,8,1.0,0,3,3,4,4,0,1,0,33,27.9,7,leonaka01
Kawhi Leonard,2026-01-12,LAC,H,CHO,"W, 117-109",True,31,11,19,0.579,5,9,0.556,8,9,0.889,0,5,5,3,0,0,1,0,35,28.3,8,leonaka01
Kawhi Leonard,2026-01-10,LAC,A,DET,"W, 98-92",True,31,8,13,0.615,4,7,0.571,6,9,0.667,1,7,8,1,4,0,3,1,26,23.0,12,leonaka01
Iman Quickley,2026-01-25,TOR,A,OKC,"W, 103-101",True,32,7,14,0.5,6,10,0.6,3,4,0.75,1,10,11,2,2,0,1,1,23,21.3,2,quickim01
Iman Quickley,2026-01-23,TOR,A,POR,"W, 110-98",True,34,9,15,0.6,2,4,0.5,0,0,0.0,0,8,8,7,2,0,1,1,20,21.0,9,quickim01
Iman Quickley,2026-01-21,TOR,A,SAC,"W, 122-109",True,36,6,12,0.5,1,4,0.25,5,5,1.0,1,5,6,8,2,0,2,2,18,19.0,15,quickim01
Iman Quickley,2026-01-20,TOR,A,GSW,"W, 145-127",True,34,11,13,0.846,7,8,0.875,11,11,1.0,0,2,2,10,2,0,3,4,40,40.3,1,quickim01
Iman Quickley,2026-01-18,TOR,A,LAL,"L, 93-110",True,29,4,9,0.444,1,4,0.25,0,0,0.0,0,3,3,7,1,0,1,1,9,9.7,-11,quickim01
Karl-Anthony Towns,2026-01-24,NYK,A,PHI,"W, 112-109",True,16,2,4,0.5,1,2,0.5,5,7,0.714,0,6,6,1,0,1,2,6,10,6.0,-6,townska01
Karl-Anthony Towns,2026-01-21,NYK,H,BRK,"W, 120-66",False,20,5,8,0.625,2,3,0.667,2,2,1.0,1,7,8,3,1,0,2,3,14,13.1,21,townska01
Karl-Anthony Towns,2026-01-19,NYK,H,DAL,"L, 97-114",True,30,9,19,0.474,2,5,0.4,2,4,0.5,5,13,18,4,1,1,5,5,22,16.4,-15,townska01
Karl-Anthony Towns,2026-01-17,NYK,H,PHO,"L, 99-106",True,35,7,16,0.438,3,8,0.375,6,6,1.0,2,9,11,2,1,1,3,5,23,16.8,-5,townska01
Karl-Anthony Towns,2026-01-15,NYK,A,GSW,"L, 113-126",True,31,6,14,0.429,2,4,0.5,3,4,0.75,8,12,20,2,1,1,2,5,17,17.5,4,townska01
Jonathan Valanciunas,2026-01-22,DEN,A,WAS,"W, 107-97",True,22,6,13,0.462,0,1,0.0,4,4,1.0,4,5,9,2,0,0,0,5,16,13.0,-3,valanjo01
Jonathan Valanciunas,2025-12-31,DEN,A,TOR,"W, 106-103",True,23,5,6,0.833,0,0,0.0,7,8,0.875,1,8,9,4,1,3,1,2,17,21.6,2,valanjo01
Jonathan Valanciunas,2025-12-29,DEN,A,MIA,"L, 123-147",False,16,3,3,1.0,0,0,0.0,0,0,0.0,1,3,4,1,0,1,2,3,6,4.9,-9,valanjo01
Jonathan Valanciunas,2025-12-27,DEN,A,ORL,"L, 126-127",False,10,2,3,0.667,0,0,0.0,0,0,0.0,1,3,4,1,0,0,3,4,4,0.4,-17,valanjo01
Jonathan Valanciunas,2025-12-25,DEN,H,MIN,"W, 142-138 (OT)",False,10,1,5,0.2,0,0,0.0,0,0,0.0,0,4,4,1,0,0,1,2,2,-1.0,-9,valanjo01
Russell Westbrook,2026-01-25,SAC,A,DET,"L, 116-139",True,22,4,9,0.444,2,3,0.667,3,3,1.0,1,1,2,4,2,0,4,4,13,8.5,-16,westbru01
Russell Westbrook,2026-01-23,SAC,A,CLE,"L, 118-123",True,27,3,12,0.25,3,10,0.3,2,2,1.0,1,4,5,3,0,0,0,2,11,7.0,-18,westbru01
Russell Westbrook,2026-01-21,SAC,H,TOR,"L, 109-122",True,35,9,22,0.409,2,8,0.25,3,3,1.0,0,3,3,3,3,0,4,2,23,12.4,-16,westbru01
Russell Westbrook,2026-01-20,SAC,H,MIA,"L, 117-130",True,31,9,14,0.643,1,6,0.167,3,4,0.75,1,1,2,7,2,1,6,3,22,16.8,-13,westbru01
Russell Westbrook,2026-01-18,SAC,H,POR,"L, 110-117",True,34,9,15,0.6,3,6,0.5,2,3,0.667,0,3,3,7,3,0,2,2,23,21.7,-7,westbru01
Trae Young,2025-12-27,ATL,H,NYK,"L, 125-128",True,31,2,9,0.222,0,4,0.0,5,5,1.0,0,0,0,10,2,0,6,3,9,5.3,-13,youngtr01
Trae Young,2025-12-26,ATL,H,MIA,"L, 111-126",True,32,8,16,0.5,5,8,0.625,9,9,1.0,0,2,2,6,1,0,4,2,30,23.0,-1,youngtr01
Trae Young,2025-12-23,ATL,H,CHI,"L, 123-126",True,31,7,16,0.438,1,7,0.143,7,9,0.778,0,1,1,15,2,0,1,1,22,24.2,2,youngtr01
Trae Young,2025-12-21,ATL,H,CHI,"L, 150-152",True,26,10,16,0.625,7,9,0.778,8,9,0.889,0,1,1,9,0,0,2,3,35,30.8,2,youngtr01
Trae Young,2025-12-18,ATL,A,CHO,"L, 126-133",True,20,3,8,0.375,0,5,0.0,2,2,1.0,0,1,1,10,1,0,3,2,8,8.1,-3,youngtr01
Ivica Zubac,2026-01-25,LAC,H,BRK,"W, 126-89",True,23,4,5,0.8,0,0,0.0,3,4,0.75,1,9,10,1,1,0,1,3,11,11.6,4,zubaciv01
Ivica Zubac,2026-01-22,LAC,H,LAL,"W, 112-104",True,32,7,13,0.538,0,0,0.0,4,4,1.0,10,9,19,0,1,0,1,3,18,20.2,15,zubaciv01
Ivica Zubac,2026-01-20,LAC,A,CHI,"L, 110-138",True,22,5,12,0.417,0,0,0.0,2,3,0.667,5,6,11,1,0,0,0,0,12,11.2,-8,zubaciv01
Ivica Zubac,2026-01-19,LAC,A,WAS,"W, 110-106",True,30,7,10,0.7,0,0,0.0,0,0,0.0,3,9,12,1,0,1,5,0,14,11.0,-3,zubaciv01
Ivica Zubac,2026-01-16,LAC,A,TOR,"W, 121-117 (OT)",True,39,7,10,0.7,0,0,0.0,2,3,0.667,3,11,14,2,0,0,2,3,16,15.0,15,zubaciv01
Donovan Mitchell,2026-01-24,CLE,A,ORL,"W, 119-105",True,38,15,30,0.5,2,8,0.25,4,5,0.8,2,3,5,9,2,0,3,4,36,26.6,15,mitchdo01
Donovan Mitchell,2026-01-23,CLE,H,SAC,"W, 123-118",True,34,11,25,0.44,5,12,0.417,6,7,0.857,0,5,5,8,1,0,1,3,33,25.4,5,mitchdo01
Donovan Mitchell,2026-01-21,CLE,A,CHO,"W, 94-87",True,37,8,20,0.4,2,8,0.25,6,7,0.857,1,2,3,6,1,0,8,1,24,10.9,-3,mitchdo01
Donovan Mitchell,2026-01-19,CLE,H,OKC,"L, 104-136",True,35,5,18,0.278,1,9,0.111,8,11,0.727,1,3,4,3,3,0,1,1,19,12.5,-26,mitchdo01
Donovan Mitchell,2026-01-16,CLE,A,PHI,"W, 117-115",True,39,4,13,0.308,4,7,0.571,1,2,0.5,1,8,9,12,1,0,6,1,13,11.2,-2,mitchdo01
